Fold,F1-Score (Macro),Akurasi,Balanced Accuracy
Fold 1,0.8377216982500832,0.8411102914053855,0.8375675958076718
Fold 2,0.8351382381987925,0.8386204352637403,0.8349047046130007
Fold 3,0.8432998543782295,0.8460900036886758,0.8442658951263721
Fold 4,0.8342216625361967,0.8371449649575802,0.8352085599615098
Fold 5,0.8344833220314134,0.8379749170047953,0.8342416516568905
Rata-rata,0.8369729550789431,0.8401881224640355,0.837237681433089
Std. Dev.,0.0037988268082749443,0.0036159136714676915,0.00412434662772085
